step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
273,784,1024,0.7656,23.424,42.691,0,0.000,0
274,785,1024,0.7666,24.052,41.577,0,0.000,0
275,786,1024,0.7676,23.087,43.314,0,0.000,0
276,787,1024,0.7686,23.883,41.871,0,0.000,0
277,788,1024,0.7695,23.603,42.367,0,0.000,0
278,789,1024,0.7705,23.403,42.730,0,0.000,0
279,790,1024,0.7715,23.692,42.208,0,0.000,0
280,791,1024,0.7725,23.392,42.750,0,0.000,0
281,792,1024,0.7734,24.033,41.609,0,0.000,0
282,793,1024,0.7744,23.743,42.118,0,0.000,0
283,794,1024,0.7754,23.673,42.242,0,0.000,0
284,795,1024,0.7764,24.000,41.667,0,0.000,0
285,796,1024,0.7773,23.334,42.856,0,0.000,0
286,797,1024,0.7783,23.552,42.459,0,0.000,0
287,798,1024,0.7793,23.738,42.127,0,0.000,0
288,799,1024,0.7803,23.420,42.699,0,0.000,0
289,800,1024,0.7812,23.826,41.971,0,0.000,0
290,801,1024,0.7822,23.396,42.742,0,0.000,0
291,802,1024,0.7832,23.650,42.283,0,0.000,0
292,803,1024,0.7842,23.403,42.730,0,0.000,0
293,804,1024,0.7852,23.244,43.022,0,0.000,0
294,805,1024,0.7861,24.173,41.368,0,0.000,0
295,806,1024,0.7871,23.739,42.125,0,0.000,0
296,807,1024,0.7881,23.422,42.695,0,0.000,0
297,808,1024,0.7891,23.678,42.233,0,0.000,0
298,809,1024,0.7900,23.487,42.577,0,0.000,0
299,810,1024,0.7910,23.726,42.148,0,0.000,0
300,811,1024,0.7920,23.396,42.742,0,0.000,0
301,812,1024,0.7930,24.038,41.601,0,0.000,0
302,813,1024,0.7939,23.599,42.375,0,0.000,0
303,814,1024,0.7949,23.256,43.000,0,0.000,0
304,815,1024,0.7959,23.867,41.899,0,0.000,0
305,816,1024,0.7969,23.240,43.029,0,0.000,0
306,817,1024,0.7979,23.723,42.153,0,0.000,0
307,818,1024,0.7988,24.206,41.312,0,0.000,0
308,819,1024,0.7998,23.526,42.506,0,0.000,0
309,820,1024,0.8008,24.260,41.220,0,0.000,0
310,821,1024,0.8018,23.056,43.373,0,0.000,0
311,822,1024,0.8027,24.126,41.449,0,0.000,0
312,823,1024,0.8037,23.411,42.715,0,0.000,0
313,824,1024,0.8047,23.505,42.544,0,0.000,0
