step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled,n_kv
238,749,1024,0.7314,23.933,41.783,0,0.000,0,768
239,750,1024,0.7324,24.199,41.324,0,0.000,0,768
240,751,1024,0.7334,23.839,41.948,0,0.000,0,768
241,752,1024,0.7344,23.799,42.019,0,0.000,0,768
242,753,1024,0.7354,24.170,41.374,0,0.000,0,768
243,754,1024,0.7363,24.234,41.264,0,0.000,0,768
244,755,1024,0.7373,24.195,41.331,0,0.000,0,768
245,756,1024,0.7383,23.840,41.946,0,0.000,0,768
246,757,1024,0.7393,24.534,40.760,0,0.000,0,768
247,758,1024,0.7402,24.223,41.283,0,0.000,0,768
248,759,1024,0.7412,23.839,41.948,0,0.000,0,768
249,760,1024,0.7422,23.934,41.782,0,0.000,0,768
250,761,1024,0.7432,24.707,40.474,0,0.000,0,768
251,762,1024,0.7441,24.262,41.217,0,0.000,0,768
252,763,1024,0.7451,23.990,41.684,0,0.000,0,768
253,764,1024,0.7461,24.128,41.446,0,0.000,0,768
254,765,1024,0.7471,24.240,41.254,0,0.000,0,768
255,766,1024,0.7480,24.130,41.442,0,0.000,0,768
256,767,1024,0.7490,23.790,42.034,0,0.000,0,768
257,768,1024,0.7500,24.220,41.288,0,0.000,0,768
258,769,1024,0.7510,26.240,38.110,0,0.000,0,1024
259,770,1024,0.7520,28.278,35.363,0,0.000,0,1024
260,771,1024,0.7529,24.101,41.492,0,0.000,0,1024
261,772,1024,0.7539,24.613,40.629,0,0.000,0,1024
262,773,1024,0.7549,24.539,40.751,0,0.000,0,1024
263,774,1024,0.7559,25.154,39.755,0,0.000,0,1024
264,775,1024,0.7568,24.298,41.156,0,0.000,0,1024
265,776,1024,0.7578,24.606,40.640,0,0.000,0,1024
266,777,1024,0.7588,24.645,40.576,0,0.000,0,1024
267,778,1024,0.7598,24.630,40.601,0,0.000,0,1024
268,779,1024,0.7607,24.215,41.297,0,0.000,0,1024
269,780,1024,0.7617,24.192,41.336,0,0.000,0,1024
270,781,1024,0.7627,24.626,40.607,0,0.000,0,1024
271,782,1024,0.7637,24.602,40.647,0,0.000,0,1024
272,783,1024,0.7646,24.249,41.239,0,0.000,0,1024
273,784,1024,0.7656,24.703,40.481,0,0.000,0,1024
274,785,1024,0.7666,24.613,40.629,0,0.000,0,1024
275,786,1024,0.7676,25.206,39.673,0,0.000,0,1024
276,787,1024,0.7686,24.331,41.100,0,0.000,0,1024
277,788,1024,0.7695,24.631,40.599,0,0.000,0,1024
278,789,1024,0.7705,24.556,40.723,0,0.000,0,1024
279,790,1024,0.7715,24.276,41.193,0,0.000,0,1024
280,791,1024,0.7725,24.459,40.885,0,0.000,0,1024
281,792,1024,0.7734,24.555,40.725,0,0.000,0,1024
282,793,1024,0.7744,24.446,40.906,0,0.000,0,1024
283,794,1024,0.7754,24.253,41.232,0,0.000,0,1024
284,795,1024,0.7764,24.634,40.594,0,0.000,0,1024
285,796,1024,0.7773,24.632,40.598,0,0.000,0,1024
286,797,1024,0.7783,24.491,40.831,0,0.000,0,1024
287,798,1024,0.7793,24.048,41.583,0,0.000,0,1024
288,799,1024,0.7803,25.215,39.659,0,0.000,0,1024
289,800,1024,0.7812,25.874,38.649,0,0.000,0,1024
290,801,1024,0.7822,24.778,40.358,0,0.000,0,1024
291,802,1024,0.7832,24.325,41.110,0,0.000,0,1024
292,803,1024,0.7842,24.863,40.220,0,0.000,0,1024
293,804,1024,0.7852,24.642,40.581,0,0.000,0,1024
294,805,1024,0.7861,24.639,40.586,0,0.000,0,1024
295,806,1024,0.7871,24.270,41.203,0,0.000,0,1024
296,807,1024,0.7881,24.623,40.612,0,0.000,0,1024
297,808,1024,0.7891,24.633,40.596,0,0.000,0,1024
298,809,1024,0.7900,24.671,40.533,0,0.000,0,1024
299,810,1024,0.7910,24.216,41.295,0,0.000,0,1024
300,811,1024,0.7920,25.095,39.849,0,0.000,0,1024
301,812,1024,0.7930,24.573,40.695,0,0.000,0,1024
302,813,1024,0.7939,24.535,40.758,0,0.000,0,1024
303,814,1024,0.7949,24.195,41.331,0,0.000,0,1024
304,815,1024,0.7959,24.647,40.573,0,0.000,0,1024
305,816,1024,0.7969,24.677,40.524,0,0.000,0,1024
306,817,1024,0.7979,24.662,40.548,0,0.000,0,1024
307,818,1024,0.7988,24.253,41.232,0,0.000,0,1024
308,819,1024,0.7998,24.566,40.707,0,0.000,0,1024
309,820,1024,0.8008,24.645,40.576,0,0.000,0,1024
