step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled,n_kv
258,769,1024,0.7510,30.484,32.804,0,0.000,0,1024
259,770,1024,0.7520,28.998,34.485,0,0.000,0,1024
260,771,1024,0.7529,29.026,34.452,0,0.000,0,1024
261,772,1024,0.7539,28.615,34.947,0,0.000,0,1024
262,773,1024,0.7549,28.614,34.948,0,0.000,0,1024
263,774,1024,0.7559,29.426,33.984,0,0.000,0,1024
264,775,1024,0.7568,28.867,34.642,0,0.000,0,1024
265,776,1024,0.7578,28.675,34.874,0,0.000,0,1024
266,777,1024,0.7588,28.959,34.532,0,0.000,0,1024
267,778,1024,0.7598,28.501,35.086,0,0.000,0,1024
268,779,1024,0.7607,29.251,34.187,0,0.000,0,1024
269,780,1024,0.7617,28.671,34.878,0,0.000,0,1024
270,781,1024,0.7627,28.939,34.555,0,0.000,0,1024
271,782,1024,0.7637,29.313,34.115,0,0.000,0,1024
272,783,1024,0.7646,29.093,34.373,0,0.000,0,1024
273,784,1024,0.7656,28.944,34.549,0,0.000,0,1024
274,785,1024,0.7666,28.372,35.246,0,0.000,0,1024
275,786,1024,0.7676,28.717,34.823,0,0.000,0,1024
276,787,1024,0.7686,28.193,35.470,0,0.000,0,1024
277,788,1024,0.7695,28.796,34.727,0,0.000,0,1024
278,789,1024,0.7705,28.804,34.717,0,0.000,0,1024
279,790,1024,0.7715,28.544,35.034,0,0.000,0,1024
280,791,1024,0.7725,28.450,35.149,0,0.000,0,1024
281,792,1024,0.7734,28.988,34.497,0,0.000,0,1024
282,793,1024,0.7744,29.198,34.249,0,0.000,0,1024
283,794,1024,0.7754,28.903,34.598,0,0.000,0,1024
284,795,1024,0.7764,28.240,35.411,0,0.000,0,1024
285,796,1024,0.7773,28.342,35.283,0,0.000,0,1024
286,797,1024,0.7783,28.707,34.835,0,0.000,0,1024
287,798,1024,0.7793,28.504,35.083,0,0.000,0,1024
288,799,1024,0.7803,28.616,34.945,0,0.000,0,1024
289,800,1024,0.7812,29.069,34.401,0,0.000,0,1024
290,801,1024,0.7822,29.159,34.295,0,0.000,0,1024
291,802,1024,0.7832,28.478,35.115,0,0.000,0,1024
292,803,1024,0.7842,29.232,34.209,0,0.000,0,1024
293,804,1024,0.7852,28.635,34.922,0,0.000,0,1024
294,805,1024,0.7861,29.136,34.322,0,0.000,0,1024
295,806,1024,0.7871,28.994,34.490,0,0.000,0,1024
296,807,1024,0.7881,28.678,34.870,0,0.000,0,1024
297,808,1024,0.7891,28.858,34.652,0,0.000,0,1024
298,809,1024,0.7900,28.726,34.812,0,0.000,0,1024
299,810,1024,0.7910,28.569,35.003,0,0.000,0,1024
300,811,1024,0.7920,28.961,34.529,0,0.000,0,1024
301,812,1024,0.7930,28.643,34.913,0,0.000,0,1024
302,813,1024,0.7939,37.220,26.867,0,0.000,0,1024
303,814,1024,0.7949,28.582,34.987,0,0.000,0,1024
304,815,1024,0.7959,28.568,35.004,0,0.000,0,1024
305,816,1024,0.7969,28.682,34.865,0,0.000,0,1024
306,817,1024,0.7979,28.715,34.825,0,0.000,0,1024
307,818,1024,0.7988,28.502,35.085,0,0.000,0,1024
308,819,1024,0.7998,27.888,35.858,0,0.000,0,1024
309,820,1024,0.8008,28.445,35.156,0,0.000,0,1024
310,821,1024,0.8018,28.490,35.100,0,0.000,0,1024
311,822,1024,0.8027,28.379,35.237,0,0.000,0,1024
312,823,1024,0.8037,28.601,34.964,0,0.000,0,1024
313,824,1024,0.8047,28.902,34.600,0,0.000,0,1024
314,825,1024,0.8057,28.495,35.094,0,0.000,0,1024
315,826,1024,0.8066,28.461,35.136,0,0.000,0,1024
