step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled,n_kv
68,579,2048,0.2827,23.726,42.148,0,0.000,0,768
69,580,2048,0.2832,23.044,43.395,0,0.000,0,768
70,581,2048,0.2837,23.415,42.708,0,0.000,0,768
71,582,2048,0.2842,23.362,42.805,0,0.000,0,768
72,583,2048,0.2847,23.740,42.123,0,0.000,0,768
73,584,2048,0.2852,22.861,43.743,0,0.000,0,768
74,585,2048,0.2856,23.419,42.700,0,0.000,0,768
75,586,2048,0.2861,23.427,42.686,0,0.000,0,768
76,587,2048,0.2866,23.369,42.792,0,0.000,0,768
77,588,2048,0.2871,23.441,42.660,0,0.000,0,768
78,589,2048,0.2876,23.422,42.695,0,0.000,0,768
79,590,2048,0.2881,23.820,41.982,0,0.000,0,768
80,591,2048,0.2886,23.507,42.541,0,0.000,0,768
81,592,2048,0.2891,23.504,42.546,0,0.000,0,768
82,593,2048,0.2896,23.342,42.841,0,0.000,0,768
83,594,2048,0.2900,22.901,43.666,0,0.000,0,768
84,595,2048,0.2905,23.513,42.530,0,0.000,0,768
85,596,2048,0.2910,23.694,42.205,0,0.000,0,768
86,597,2048,0.2915,22.919,43.632,0,0.000,0,768
87,598,2048,0.2920,23.370,42.790,0,0.000,0,768
88,599,2048,0.2925,23.606,42.362,0,0.000,0,768
89,600,2048,0.2930,23.565,42.436,0,0.000,0,768
90,601,2048,0.2935,23.139,43.217,0,0.000,0,768
91,602,2048,0.2939,23.592,42.387,0,0.000,0,768
92,603,2048,0.2944,24.055,41.571,0,0.000,0,768
93,604,2048,0.2949,23.251,43.009,0,0.000,0,768
94,605,2048,0.2954,23.442,42.658,0,0.000,0,768
95,606,2048,0.2959,23.292,42.933,0,0.000,0,768
96,607,2048,0.2964,23.058,43.369,0,0.000,0,768
97,608,2048,0.2969,23.563,42.439,0,0.000,0,768
98,609,2048,0.2974,23.571,42.425,0,0.000,0,768
99,610,2048,0.2979,23.411,42.715,0,0.000,0,768
100,611,2048,0.2983,23.021,43.439,0,0.000,0,768
101,612,2048,0.2988,23.521,42.515,0,0.000,0,768
102,613,2048,0.2993,23.440,42.662,0,0.000,0,768
103,614,2048,0.2998,23.104,43.283,0,0.000,0,768
104,615,2048,0.3003,23.498,42.557,0,0.000,0,768
