step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
190,701,1024,0.6846,24.947,40.085,0,0.000
191,702,1024,0.6855,24.948,40.083,0,0.000
192,703,1024,0.6865,24.783,40.350,0,0.000
193,704,1024,0.6875,24.993,40.011,0,0.000
194,705,1024,0.6885,24.983,40.027,0,0.000
195,706,1024,0.6895,24.949,40.082,0,0.000
196,707,1024,0.6904,24.760,40.388,0,0.000
197,708,1024,0.6914,24.765,40.380,0,0.000
198,709,1024,0.6924,24.929,40.114,0,0.000
199,710,1024,0.6934,24.906,40.151,0,0.000
200,711,1024,0.6943,24.365,41.042,0,0.000
201,712,1024,0.6953,24.657,40.556,0,0.000
202,713,1024,0.6963,24.666,40.542,0,0.000
203,714,1024,0.6973,24.755,40.396,0,0.000
204,715,1024,0.6982,24.528,40.770,0,0.000
205,716,1024,0.6992,24.739,40.422,0,0.000
206,717,1024,0.7002,24.686,40.509,0,0.000
207,718,1024,0.7012,24.695,40.494,0,0.000
208,719,1024,0.7021,24.502,40.813,0,0.000
209,720,1024,0.7031,24.499,40.818,0,0.000
210,721,1024,0.7041,24.517,40.788,0,0.000
211,722,1024,0.7051,24.433,40.928,0,0.000
212,723,1024,0.7061,24.131,41.440,0,0.000
213,724,1024,0.7070,24.377,41.022,0,0.000
214,725,1024,0.7080,24.341,41.083,0,0.000
215,726,1024,0.7090,24.194,41.333,0,0.000
216,727,1024,0.7100,24.483,40.845,0,0.000
217,728,1024,0.7109,24.473,40.861,0,0.000
218,729,1024,0.7119,24.321,41.117,0,0.000
219,730,1024,0.7129,23.947,41.759,0,0.000
220,731,1024,0.7139,24.177,41.362,0,0.000
221,732,1024,0.7148,24.105,41.485,0,0.000
222,733,1024,0.7158,24.162,41.387,0,0.000
223,734,1024,0.7168,24.032,41.611,0,0.000
224,735,1024,0.7178,24.252,41.234,0,0.000
225,736,1024,0.7188,24.069,41.547,0,0.000
226,737,1024,0.7197,23.381,42.770,0,0.000
227,738,1024,0.7207,23.742,42.119,0,0.000
228,739,1024,0.7217,24.013,41.644,0,0.000
229,740,1024,0.7227,25.398,39.373,0,0.000
230,741,1024,0.7236,24.024,41.625,0,0.000
231,742,1024,0.7246,24.298,41.156,0,0.000
232,743,1024,0.7256,23.979,41.703,0,0.000
233,744,1024,0.7266,24.005,41.658,0,0.000
234,745,1024,0.7275,23.831,41.962,0,0.000
235,746,1024,0.7285,23.968,41.722,0,0.000
236,747,1024,0.7295,23.929,41.790,0,0.000
237,748,1024,0.7305,23.734,42.134,0,0.000
238,749,1024,0.7314,23.989,41.686,0,0.000
239,750,1024,0.7324,24.001,41.665,0,0.000
240,751,1024,0.7334,24.017,41.637,0,0.000
241,752,1024,0.7344,23.732,42.137,0,0.000
242,753,1024,0.7354,23.929,41.790,0,0.000
243,754,1024,0.7363,23.925,41.797,0,0.000
244,755,1024,0.7373,23.517,42.522,0,0.000
245,756,1024,0.7383,23.906,41.831,0,0.000
246,757,1024,0.7393,24.094,41.504,0,0.000
247,758,1024,0.7402,24.035,41.606,0,0.000
248,759,1024,0.7412,23.662,42.262,0,0.000
249,760,1024,0.7422,24.063,41.558,0,0.000
250,761,1024,0.7432,23.994,41.677,0,0.000
251,762,1024,0.7441,23.790,42.034,0,0.000
252,763,1024,0.7451,23.571,42.425,0,0.000
253,764,1024,0.7461,23.735,42.132,0,0.000
254,765,1024,0.7471,23.800,42.017,0,0.000
255,766,1024,0.7480,23.522,42.513,0,0.000
256,767,1024,0.7490,23.803,42.012,0,0.000
257,768,1024,0.7500,23.776,42.059,0,0.000
258,769,1024,0.7510,24.773,40.367,0,0.000
259,770,1024,0.7520,23.548,42.466,0,0.000
260,771,1024,0.7529,23.900,41.841,0,0.000
261,772,1024,0.7539,23.767,42.075,0,0.000
262,773,1024,0.7549,23.532,42.495,0,0.000
263,774,1024,0.7559,23.704,42.187,0,0.000
264,775,1024,0.7568,23.648,42.287,0,0.000
265,776,1024,0.7578,23.718,42.162,0,0.000
266,777,1024,0.7588,23.534,42.492,0,0.000
267,778,1024,0.7598,23.764,42.080,0,0.000
268,779,1024,0.7607,23.716,42.166,0,0.000
269,780,1024,0.7617,23.476,42.597,0,0.000
270,781,1024,0.7627,23.415,42.708,0,0.000
271,782,1024,0.7637,23.806,42.006,0,0.000
272,783,1024,0.7646,23.361,42.806,0,0.000
273,784,1024,0.7656,23.267,42.979,0,0.000
274,785,1024,0.7666,23.520,42.517,0,0.000
275,786,1024,0.7676,23.691,42.210,0,0.000
276,787,1024,0.7686,23.325,42.872,0,0.000
277,788,1024,0.7695,23.572,42.423,0,0.000
278,789,1024,0.7705,23.452,42.640,0,0.000
279,790,1024,0.7715,23.260,42.992,0,0.000
280,791,1024,0.7725,23.464,42.618,0,0.000
281,792,1024,0.7734,23.627,42.324,0,0.000
282,793,1024,0.7744,23.519,42.519,0,0.000
283,794,1024,0.7754,23.324,42.874,0,0.000
