step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
150,1024,1024,1.0000,26.726,37.417,1,0.000,0
151,1024,1024,1.0000,27.223,36.734,1,0.000,0
152,1024,1024,1.0000,27.177,36.796,1,0.000,0
153,1024,1024,1.0000,26.257,38.085,1,0.000,0
154,1024,1024,1.0000,26.960,37.092,1,0.000,0
155,1024,1024,1.0000,26.861,37.229,1,0.000,0
156,1024,1024,1.0000,27.085,36.921,1,0.000,0
157,1024,1024,1.0000,27.138,36.849,1,0.000,0
158,1024,1024,1.0000,26.634,37.546,1,0.000,0
159,1024,1024,1.0000,26.964,37.086,1,0.000,0
160,1024,1024,1.0000,27.095,36.907,1,0.000,0
161,1024,1024,1.0000,26.793,37.323,1,0.000,0
162,1024,1024,1.0000,27.274,36.665,1,0.000,0
163,1024,1024,1.0000,27.298,36.633,1,0.000,0
164,1024,1024,1.0000,26.953,37.102,1,0.000,0
165,1024,1024,1.0000,27.050,36.969,1,0.000,0
166,1024,1024,1.0000,26.854,37.238,1,0.000,0
167,1024,1024,1.0000,27.272,36.668,1,0.000,0
168,1024,1024,1.0000,27.532,36.321,1,0.000,0
169,1024,1024,1.0000,26.479,37.766,1,0.000,0
170,1024,1024,1.0000,27.234,36.719,1,0.000,0
171,1024,1024,1.0000,26.956,37.097,1,0.000,0
172,1024,1024,1.0000,26.905,37.168,1,0.000,0
173,1024,1024,1.0000,26.895,37.182,1,0.000,0
174,1024,1024,1.0000,26.535,37.686,1,0.000,0
175,1024,1024,1.0000,27.221,36.736,1,0.000,0
176,1024,1024,1.0000,27.264,36.678,1,0.000,0
177,1024,1024,1.0000,27.038,36.985,1,0.000,0
178,1024,1024,1.0000,26.625,37.559,1,0.000,0
179,1024,1024,1.0000,26.678,37.484,1,0.000,0
180,1024,1024,1.0000,26.800,37.313,1,0.000,0
181,1024,1024,1.0000,27.491,36.376,1,0.000,0
182,1024,1024,1.0000,26.679,37.483,1,0.000,0
183,1024,1024,1.0000,27.190,36.778,1,0.000,0
184,1024,1024,1.0000,26.887,37.193,1,0.000,0
185,1024,1024,1.0000,26.558,37.653,1,0.000,0
186,1024,1024,1.0000,27.173,36.801,1,0.000,0
187,1024,1024,1.0000,26.674,37.490,1,0.000,0
188,1024,1024,1.0000,27.136,36.851,1,0.000,0
189,1024,1024,1.0000,27.068,36.944,1,0.000,0
190,1024,1024,1.0000,26.706,37.445,1,0.000,0
191,1024,1024,1.0000,26.618,37.569,1,0.000,0
192,1024,1024,1.0000,26.878,37.205,1,0.000,0
193,1024,1024,1.0000,27.591,36.244,1,0.000,0
194,1024,1024,1.0000,27.485,36.383,1,0.000,0
195,1024,1024,1.0000,27.365,36.543,1,0.000,0
196,1024,1024,1.0000,26.936,37.125,1,0.000,0
197,1024,1024,1.0000,27.153,36.828,1,0.000,0
198,1024,1024,1.0000,27.399,36.498,1,0.000,0
199,1024,1024,1.0000,27.223,36.734,1,0.000,0
200,1024,1024,1.0000,27.365,36.543,1,0.000,0
201,1024,1024,1.0000,26.894,37.183,1,0.000,0
202,1024,1024,1.0000,27.209,36.753,1,0.000,0
203,1024,1024,1.0000,27.508,36.353,1,0.000,0
204,1024,1024,1.0000,27.699,36.102,1,0.000,0
205,1024,1024,1.0000,27.286,36.649,1,0.000,0
206,1024,1024,1.0000,27.586,36.250,1,0.000,0
207,1024,1024,1.0000,26.928,37.136,1,0.000,0
208,1024,1024,1.0000,27.057,36.959,1,0.000,0
209,1024,1024,1.0000,27.496,36.369,1,0.000,0
210,1024,1024,1.0000,27.118,36.876,1,0.000,0
211,1024,1024,1.0000,27.370,36.536,1,0.000,0
212,1024,1024,1.0000,26.451,37.806,1,0.000,0
213,1024,1024,1.0000,26.941,37.118,1,0.000,0
214,1024,1024,1.0000,27.127,36.864,1,0.000,0
215,1024,1024,1.0000,28.246,35.403,1,0.000,0
216,1024,1024,1.0000,29.923,33.419,1,0.000,0
217,1024,1024,1.0000,26.905,37.168,1,0.000,0
218,1024,1024,1.0000,26.220,38.139,1,0.000,0
219,1024,1024,1.0000,27.491,36.376,1,0.000,0
220,1024,1024,1.0000,27.175,36.799,1,0.000,0
221,1024,1024,1.0000,27.042,36.980,1,0.000,0
222,1024,1024,1.0000,26.596,37.600,1,0.000,0
223,1024,1024,1.0000,27.200,36.765,1,0.000,0
224,1024,1024,1.0000,26.948,37.109,1,0.000,0
225,1024,1024,1.0000,26.976,37.070,1,0.000,0
226,1024,1024,1.0000,26.863,37.226,1,0.000,0
227,1024,1024,1.0000,27.834,35.927,1,0.000,0
228,1024,1024,1.0000,27.221,36.736,1,0.000,0
229,1024,1024,1.0000,26.946,37.111,1,0.000,0
230,1024,1024,1.0000,26.359,37.938,1,0.000,0
231,1024,1024,1.0000,27.183,36.788,1,0.000,0
232,1024,1024,1.0000,26.942,37.117,1,0.000,0
233,1024,1024,1.0000,26.984,37.059,1,0.000,0
234,1024,1024,1.0000,26.404,37.873,1,0.000,0
235,1024,1024,1.0000,27.046,36.974,1,0.000,0
236,1024,1024,1.0000,27.891,35.854,1,0.000,0
237,1024,1024,1.0000,26.630,37.552,1,0.000,0
238,1024,1024,1.0000,27.586,36.250,1,0.000,0
239,1024,1024,1.0000,27.329,36.591,1,0.000,0
240,1024,1024,1.0000,26.571,37.635,1,0.000,0
241,1024,1024,1.0000,27.053,36.964,1,0.000,0
242,1024,1024,1.0000,27.488,36.380,1,0.000,0
243,1024,1024,1.0000,27.101,36.899,1,0.000,0
244,1024,1024,1.0000,27.175,36.799,1,0.000,0
245,1024,1024,1.0000,25.858,38.673,1,0.000,0
246,1024,1024,1.0000,26.307,38.013,1,0.000,0
247,1024,1024,1.0000,26.893,37.184,1,0.000,0
248,1024,1024,1.0000,27.076,36.933,1,0.000,0
249,1024,1024,1.0000,26.841,37.256,1,0.000,0
250,1024,1024,1.0000,27.128,36.862,1,0.000,0
251,1024,1024,1.0000,26.779,37.343,1,0.000,0
252,1024,1024,1.0000,27.206,36.757,1,0.000,0
253,1024,1024,1.0000,27.218,36.740,1,0.000,0
254,1024,1024,1.0000,26.836,37.263,1,0.000,0
255,1024,1024,1.0000,26.813,37.295,1,0.000,0
256,1024,1024,1.0000,27.155,36.826,1,0.000,0
257,1024,1024,1.0000,28.183,35.482,1,0.000,0
258,1024,1024,1.0000,26.695,37.460,1,0.000,0
259,1024,1024,1.0000,26.215,38.146,1,0.000,0
260,1024,1024,1.0000,26.370,37.922,1,0.000,0
261,1024,1024,1.0000,26.228,38.127,1,0.000,0
262,1024,1024,1.0000,27.003,37.033,1,0.000,0
263,1024,1024,1.0000,27.025,37.003,1,0.000,0
264,1024,1024,1.0000,26.994,37.045,1,0.000,0
265,1024,1024,1.0000,27.163,36.815,1,0.000,0
266,1024,1024,1.0000,26.310,38.008,1,0.000,0
267,1024,1024,1.0000,26.331,37.978,1,0.000,0
268,1024,1024,1.0000,26.972,37.075,1,0.000,0
269,1024,1024,1.0000,27.213,36.747,1,0.000,0
270,1024,1024,1.0000,27.358,36.552,1,0.000,0
271,1024,1024,1.0000,27.351,36.562,1,0.000,0
272,1024,1024,1.0000,26.921,37.146,1,0.000,0
273,1024,1024,1.0000,28.170,35.499,1,0.000,0
274,1024,1024,1.0000,27.488,36.380,1,0.000,0
275,1024,1024,1.0000,27.340,36.576,1,0.000,0
276,1024,1024,1.0000,27.359,36.551,1,0.000,0
277,1024,1024,1.0000,26.147,38.245,1,0.000,0
