pos,cell,score
3553,476,283.277374
477,477,807.951477
3554,478,505.650940
3555,479,301.975433
3556,480,220.029312
3557,481,200.904465
482,482,1305.337769
3558,483,227.090668
3559,484,354.816162
3560,485,168.033646
3561,486,216.584427
487,487,770.073303
3562,488,192.870255
3563,489,194.161163
3564,490,263.799072
3565,491,281.301727
3566,492,216.103561
3567,493,155.534180
3568,494,243.704453
3569,495,344.076813
3570,496,279.014435
3571,497,375.693726
3572,498,234.579361
3573,499,402.553497
3574,500,225.478180
501,501,814.676697
3575,502,478.688843
3576,503,168.381332
3577,504,278.842834
3578,505,503.653320
506,506,1212.464233
3579,507,297.703247
3580,508,212.546280
3581,509,194.190598
3582,510,218.517899
3583,511,359.188751
3598,512,250.683151
2831,513,833.140747
3599,514,247.046188
3600,515,206.107605
2834,516,724.869568
3601,517,294.991638
3602,518,495.956360
3603,519,303.429199
3604,520,210.708130
3605,521,240.197281
3606,522,225.570297
3607,523,352.745422
3608,524,199.587921
3609,525,231.021652
3610,526,183.464172
527,527,1561.490967
3611,528,225.114639
3612,529,280.637238
530,530,1038.754028
3613,531,174.916931
3614,532,221.604095
3615,533,184.850174
3616,534,254.529297
3617,535,386.671326
3618,536,285.556152
3619,537,281.973602
3620,538,239.685318
2855,539,1138.226074
3621,540,382.467896
3622,541,255.379562
3623,542,446.241791
3624,543,192.621750
3625,544,279.898315
3626,545,466.617950
3627,546,291.611206
3628,547,258.613647
3629,548,199.585800
3630,549,229.101913
3631,550,358.300629
551,551,1273.749268
3632,552,190.118896
3633,553,231.203247
554,554,966.306458
3634,555,176.439941
3635,556,216.460693
3636,557,276.107880
3637,558,174.759598
3638,559,225.929871
3639,560,173.606033
3640,561,266.742249
3641,562,335.399872
3642,563,304.579742
3643,564,283.214172
2879,565,781.313171
1343,566,1378.100220
3644,567,235.915192
3645,568,385.339844
3646,569,273.135101
3647,570,409.941711
3648,571,183.521545
3649,572,267.533508
3650,573,439.274353
3651,574,296.258484
3652,575,209.012161
3653,576,198.006561
3654,577,250.998886
578,578,1054.724976
3655,579,331.636658
3656,580,180.235077
3657,581,259.297882
3658,582,158.261093
3659,583,185.221191
3660,584,280.591156
3661,585,156.383392
3662,586,206.885941
2899,587,1135.987061
3663,588,158.710266
3664,589,248.624298
3665,590,299.671753
3666,591,313.143280
3667,592,182.330338
3668,593,251.545959
3669,594,385.707794
3670,595,243.117157
3671,596,302.252289
3672,597,173.180817
3673,598,254.178589
3674,599,423.619568
3675,600,261.352478
3676,601,206.541672
602,602,1082.369507
3677,603,197.409378
3678,604,217.293915
3679,605,323.044708
3680,606,197.915207
3681,607,217.881271
3682,608,150.822189
3683,609,195.145584
3684,610,259.083435
3685,611,230.517212
3686,612,300.296204
3687,613,156.979843
3688,614,238.223679
3689,615,289.831757
3690,616,303.984131
3691,617,196.255112
3692,618,234.834839
3693,619,377.723969
3694,620,226.356277
3695,621,362.660126
3696,622,169.615005
3697,623,241.576202
3698,624,413.728271
3699,625,250.222488
626,626,1020.385437
3700,627,198.059875
3701,628,214.576416
3702,629,204.295868
3703,630,299.509338
3704,631,177.467743
3705,632,209.420471
3706,633,129.304855
3707,634,185.319458
3708,635,253.610657
3709,636,202.389877
3710,637,205.483841
3711,638,138.769104
3712,639,223.996277
3713,640,274.382904
3714,641,288.116425
3715,642,251.502960
3716,643,224.560013
3717,644,358.719177
3718,645,217.506271
3719,646,334.849884
3720,647,156.509354
3721,648,229.046341
3722,649,386.707672
650,650,1017.555542
3723,651,226.679718
3724,652,187.048889
3725,653,260.624512
3726,654,189.421356
3727,655,290.630920
3728,656,183.017410
3729,657,201.815720
3730,658,125.463882
3731,659,173.622955
3732,660,250.930832
3733,661,165.298401
3734,662,259.537201
3735,663,130.969833
3736,664,218.506683
3737,665,257.532379
2975,666,957.946899
3738,667,228.917984
3739,668,159.838043
3740,669,243.282074
3741,670,311.986877
3742,671,198.931839
3743,672,249.592255
3744,673,147.623764
674,674,950.743591
3745,675,240.115311
3746,676,351.642792
3747,677,234.654312
3748,678,213.113556
3749,679,174.953400
3750,680,197.646790
3751,681,293.931000
3752,682,160.644684
3753,683,188.210571
3754,684,133.139404
3755,685,180.455276
3756,686,232.082306
3757,687,169.619385
3758,688,166.801071
3759,689,154.272461
3760,690,175.278427
3761,691,325.744934
3762,692,221.938751
3763,693,165.464676
3764,694,238.017807
695,695,1126.305298
3765,696,285.201080
3766,697,192.245087
698,698,929.088928
3767,699,225.807953
3768,700,134.684494
3769,701,222.809586
3770,702,321.704193
3771,703,220.617188
3772,704,184.116165
3773,705,164.069519
3774,706,176.520294
3775,707,285.441376
3776,708,155.221603
3777,709,170.580521
3778,710,127.444901
3779,711,173.096436
3780,712,219.206100
3781,713,183.554428
3782,714,159.773163
3783,715,147.867493
3784,716,156.826935
3785,717,303.309570
3786,718,207.754150
3787,719,156.459396
3788,720,227.511185
3789,721,259.738678
722,722,939.900574
3790,723,181.276550
3791,724,177.287903
3792,725,125.567627
3793,726,199.526077
3794,727,275.380829
3795,728,202.108871
3796,729,192.117966
3797,730,149.662552
3798,731,161.960037
3799,732,232.449554
3800,733,133.040512
3801,734,142.085907
3802,735,107.889923
3803,736,142.699860
3804,737,176.006195
3805,738,185.085144
3806,739,125.824600
3807,740,130.590942
3808,741,113.359123
3809,742,275.282990
3810,743,162.075775
3811,744,98.205521
3812,745,177.234711
746,746,906.338806
3813,747,165.759521
3814,748,132.263748
3815,749,111.416550
3816,750,82.890465
3817,751,98.107483
3818,752,89.922958
3819,753,255.173935
3820,754,344.198517
3821,755,318.144989
3822,756,267.589203
3823,757,211.478943
3824,758,171.054520
3825,759,226.148300
3826,760,236.583130
3827,761,395.173889
3828,762,249.321487
3829,763,274.739532
3830,764,176.235977
3831,765,121.988899
3832,766,101.066635
3833,767,154.125061
3080,768,228.988907
3081,769,272.553894
770,770,895.355408
3082,771,294.305267
3083,772,257.361664
3084,773,337.516083
3085,774,367.111115
3086,775,274.346954
3854,776,7.319928
3088,777,325.483673
3089,778,423.966309
3090,779,347.541138
3091,780,466.254089
3092,781,296.255432
3093,782,501.150055
3094,783,275.077820
3095,784,656.456726
3096,785,233.056900
3097,786,380.977234
3098,787,630.456482
3099,788,371.721375
3100,789,272.634766
3101,790,257.586334
3102,791,275.274170
3103,792,439.457825
3859,793,7.267973
794,794,873.123474
3105,795,272.745728
3106,796,279.601410
3107,797,258.203186
3108,798,332.300293
3109,799,260.909058
3110,800,261.504791
3851,801,-3.663795
3112,802,335.350830
3113,803,433.846100
3114,804,340.711975
3115,805,529.821533
3116,806,303.894775
3117,807,505.137085
3118,808,272.538879
3119,809,683.047607
3120,810,226.725143
3121,811,362.478729
3122,812,634.048462
3123,813,384.715546
3124,814,292.508728
3125,815,251.580902
3126,816,273.752502
3127,817,445.475067
818,818,899.559082
3857,819,3.163481
3129,820,261.837646
3130,821,305.652039
3131,822,263.506653
3132,823,332.049103
3133,824,280.937317
3134,825,258.453888
3849,826,8.577504
3136,827,324.526001
3137,828,419.907532
3138,829,327.983063
3139,830,588.064880
3140,831,293.320251
3141,832,491.988861
3142,833,261.422119
3143,834,631.065552
3144,835,224.305893
3145,836,353.989044
3146,837,615.768555
3147,838,373.102478
3148,839,266.004303
3149,840,246.789658
3150,841,267.506622
